SECTOR,SECTOR_ID,COMPANIA_ID,PROVINCIA,TIPOEMPRESA,HERRAMIENTA,NUBE,RECURSOSENLANUBE,CANTIDADEMPLEADOS,VISUALIZACION,VENTAS
HOTELERIA,1,593,CARTAGO,GRANDE,0,0,0,450,0,15728788
COMERCIO,6,1340,HEREDIA,GRANDE,3,1,835,163,2,23049250
BIENES RAICES,4,195,SAN JOSE,PEQUEÑA,4,1,35,31,4,415207
COMERCIO,6,613,LIMON,PYMES,0,0,0,8,0,123095
SERVICIOS,2,177,PUNTARENAS,GRANDE,0,0,0,301,0,5408728
SERVICIOS,2,33,CARTAGO,PYMES,2,1,8,8,2,69912
SERVICIOS,2,731,GUANACASTE,GRANDE,0,0,0,639,0,18162169
AGRIGULTURA,3,811,HEREDIA,GRANDE,0,0,0,323,0,13579474
HOTELERIA,1,436,HEREDIA,GRANDE,1,1,373,838,2,8247912
MANUFACTURA,5,1086,CARTAGO,GRANDE,0,0,0,645,0,10483547
AGRIGULTURA,3,117,LIMON,GRANDE,0,0,0,464,0,3196700
AGRIGULTURA,3,524,LIMON,PEQUEÑA,4,1,11,19,4,227057
MANUFACTURA,5,732,CARTAGO,PYMES,3,1,9,6,2,14768
HOTELERIA,1,201,HEREDIA,PYMES,0,0,0,9,0,21379
MANUFACTURA,5,1217,GUANACASTE,PEQUEÑA,1,1,13,12,4,115165
COMERCIO,6,5,PUNTARENAS,MEDIANA,1,1,91,61,2,581671
COMERCIO,6,591,PUNTARENAS,PEQUEÑA,3,1,18,21,1,372915
AGRIGULTURA,3,473,GUANACASTE,PEQUEÑA,0,0,0,18,0,120646
HOTELERIA,1,748,HEREDIA,PYMES,0,0,0,9,0,30498
HOTELERIA,1,85,GUANACASTE,PYMES,3,1,4,4,3,118720
AGRIGULTURA,3,938,ALAJUELA,MEDIANA,2,1,78,100,3,908675
BIENES RAICES,4,1532,HEREDIA,MEDIANA,0,0,0,52,0,486372
COMERCIO,6,1375,PUNTARENAS,MEDIANA,0,0,0,87,0,410004
COMERCIO,6,1518,ALAJUELA,GRANDE,1,1,243,212,4,3857354
COMERCIO,6,60,HEREDIA,PYMES,4,1,5,4,2,14905
COMERCIO,6,1344,CARTAGO,PYMES,0,0,0,6,0,113336
AGRIGULTURA,3,315,CARTAGO,PYMES,4,1,2,7,4,116188
MANUFACTURA,5,438,PUNTARENAS,MEDIANA,3,1,88,61,2,957159
BIENES RAICES,4,176,SAN JOSE,PEQUEÑA,1,1,26,20,0,126975
SERVICIOS,2,1154,LIMON,PEQUEÑA,3,1,11,30,3,374008
BIENES RAICES,4,198,LIMON,PEQUEÑA,4,1,32,12,2,312273
BIENES RAICES,4,912,PUNTARENAS,PYMES,0,0,0,4,0,85184
MANUFACTURA,5,230,LIMON,MEDIANA,2,1,89,96,2,706557
SERVICIOS,2,1649,LIMON,PEQUEÑA,1,1,31,32,3,157517
COMERCIO,6,1537,GUANACASTE,MEDIANA,0,0,0,83,0,1104588
HOTELERIA,1,1251,HEREDIA,PEQUEÑA,4,1,33,29,4,217514
HOTELERIA,1,710,LIMON,PYMES,1,1,8,6,2,83604
COMERCIO,6,132,HEREDIA,PEQUEÑA,0,0,0,17,0,300722
HOTELERIA,1,248,PUNTARENAS,PYMES,4,1,8,8,3,121605
BIENES RAICES,4,678,HEREDIA,PYMES,1,1,9,8,4,14496
SERVICIOS,2,297,GUANACASTE,MEDIANA,3,1,81,41,3,1060587
HOTELERIA,1,852,ALAJUELA,PEQUEÑA,1,1,20,33,0,348052
AGRIGULTURA,3,225,PUNTARENAS,PYMES,0,0,0,9,0,81228
SERVICIOS,2,1616,CARTAGO,PYMES,3,1,6,7,3,31422
BIENES RAICES,4,1581,LIMON,MEDIANA,1,1,74,50,4,914169
BIENES RAICES,4,486,CARTAGO,GRANDE,0,0,0,259,0,7238522
HOTELERIA,1,531,CARTAGO,MEDIANA,1,1,48,42,2,590585
COMERCIO,6,653,GUANACASTE,MEDIANA,0,0,0,93,0,425532
HOTELERIA,1,1180,CARTAGO,MEDIANA,0,0,0,83,0,1120118
HOTELERIA,1,1650,GUANACASTE,GRANDE,0,0,0,211,0,8684883
HOTELERIA,1,848,PUNTARENAS,GRANDE,1,1,817,212,1,18373972
SERVICIOS,2,991,ALAJUELA,PYMES,0,0,0,5,0,46222
MANUFACTURA,5,1182,ALAJUELA,MEDIANA,1,1,64,68,3,1166964
COMERCIO,6,921,ALAJUELA,PEQUEÑA,3,1,32,18,2,128452
MANUFACTURA,5,1609,LIMON,PEQUEÑA,0,0,0,32,0,408547
MANUFACTURA,5,655,LIMON,PYMES,0,0,0,4,0,13027
MANUFACTURA,5,1582,CARTAGO,GRANDE,4,1,212,287,2,3104018
HOTELERIA,1,218,GUANACASTE,PEQUEÑA,0,0,0,17,0,346450
BIENES RAICES,4,742,ALAJUELA,MEDIANA,0,0,0,92,0,708787
MANUFACTURA,5,612,CARTAGO,PYMES,0,0,0,4,0,27128
HOTELERIA,1,1591,HEREDIA,MEDIANA,4,1,53,52,3,1049673
HOTELERIA,1,1222,SAN JOSE,PYMES,1,1,8,8,0,51497
SERVICIOS,2,514,LIMON,PEQUEÑA,0,0,0,20,0,251841
BIENES RAICES,4,1656,SAN JOSE,PYMES,0,0,0,9,0,87723
AGRIGULTURA,3,880,SAN JOSE,PYMES,0,0,0,3,0,65629
SERVICIOS,2,152,LIMON,MEDIANA,1,1,74,60,4,988149
MANUFACTURA,5,479,HEREDIA,GRANDE,0,0,0,514,0,19552308
BIENES RAICES,4,999,GUANACASTE,GRANDE,2,1,635,660,3,17240570
COMERCIO,6,695,ALAJUELA,MEDIANA,0,0,0,57,0,392930
AGRIGULTURA,3,1697,LIMON,PEQUEÑA,0,0,0,32,0,309977
MANUFACTURA,5,771,PUNTARENAS,PEQUEÑA,3,1,32,22,0,130750
COMERCIO,6,429,GUANACASTE,GRANDE,0,0,0,886,0,22886275
COMERCIO,6,849,ALAJUELA,PYMES,3,1,9,5,1,47183
COMERCIO,6,1585,ALAJUELA,MEDIANA,0,0,0,87,0,611498
BIENES RAICES,4,829,HEREDIA,PYMES,0,0,0,3,0,115400
COMERCIO,6,1444,HEREDIA,MEDIANA,1,1,87,94,3,1119988
HOTELERIA,1,335,ALAJUELA,PYMES,4,1,2,3,3,116334
MANUFACTURA,5,178,CARTAGO,GRANDE,0,0,0,701,0,4860384
SERVICIOS,2,279,HEREDIA,PYMES,1,1,8,6,3,96750
BIENES RAICES,4,339,CARTAGO,PEQUEÑA,0,0,0,20,0,349926
MANUFACTURA,5,309,LIMON,GRANDE,2,1,568,687,0,17337954
HOTELERIA,1,188,LIMON,PYMES,0,0,0,9,0,82912
SERVICIOS,2,1450,LIMON,MEDIANA,2,1,98,79,1,703354
AGRIGULTURA,3,1528,LIMON,PEQUEÑA,0,0,0,34,0,258099
SERVICIOS,2,321,SAN JOSE,GRANDE,2,1,747,543,4,15374993
COMERCIO,6,1031,HEREDIA,PYMES,0,0,0,5,0,30954
HOTELERIA,1,657,LIMON,PYMES,4,1,9,9,3,75457
BIENES RAICES,4,1723,GUANACASTE,GRANDE,0,0,0,126,0,18279509
MANUFACTURA,5,419,CARTAGO,PEQUEÑA,0,0,0,16,0,386935
COMERCIO,6,1547,PUNTARENAS,MEDIANA,3,1,55,63,1,824221
BIENES RAICES,4,567,GUANACASTE,MEDIANA,1,1,92,78,4,594270
SERVICIOS,2,1471,CARTAGO,PYMES,1,1,3,7,1,98159
COMERCIO,6,407,ALAJUELA,MEDIANA,0,0,0,64,0,371012
AGRIGULTURA,3,661,GUANACASTE,PYMES,0,0,0,5,0,33286
COMERCIO,6,47,ALAJUELA,PYMES,0,0,0,4,0,23726
MANUFACTURA,5,1505,GUANACASTE,PYMES,0,0,0,9,0,56803
HOTELERIA,1,603,GUANACASTE,PYMES,3,1,9,6,1,72438
MANUFACTURA,5,383,CARTAGO,PEQUEÑA,0,0,0,25,0,291294
MANUFACTURA,5,1162,HEREDIA,GRANDE,0,0,0,288,0,2062027
SERVICIOS,2,1620,ALAJUELA,PYMES,0,0,0,3,0,16602
SERVICIOS,2,1233,SAN JOSE,PEQUEÑA,2,1,35,32,2,154089
COMERCIO,6,1492,CARTAGO,PYMES,2,1,8,4,2,110578
HOTELERIA,1,1237,SAN JOSE,GRANDE,2,1,451,576,2,2331894
BIENES RAICES,4,564,SAN JOSE,MEDIANA,0,0,0,91,0,371732
AGRIGULTURA,3,1629,SAN JOSE,GRANDE,4,1,257,755,3,2071382
MANUFACTURA,5,1202,LIMON,GRANDE,1,1,491,891,3,9672577
HOTELERIA,1,754,LIMON,PEQUEÑA,0,0,0,14,0,295282
MANUFACTURA,5,1631,GUANACASTE,MEDIANA,0,0,0,82,0,409487
COMERCIO,6,1628,CARTAGO,MEDIANA,0,0,0,82,0,932036
HOTELERIA,1,1690,LIMON,PEQUEÑA,0,0,0,12,0,361210
MANUFACTURA,5,762,ALAJUELA,MEDIANA,2,1,86,82,2,460032
COMERCIO,6,1452,LIMON,GRANDE,3,1,983,597,4,24814362
MANUFACTURA,5,513,PUNTARENAS,PYMES,4,1,7,5,1,124871
BIENES RAICES,4,455,LIMON,MEDIANA,0,0,0,48,0,445670
MANUFACTURA,5,155,CARTAGO,PEQUEÑA,0,0,0,19,0,284429
BIENES RAICES,4,45,CARTAGO,PEQUEÑA,1,1,34,16,2,346312
MANUFACTURA,5,916,HEREDIA,PYMES,0,0,0,5,0,41251
AGRIGULTURA,3,923,GUANACASTE,MEDIANA,1,1,40,94,2,782789
MANUFACTURA,5,25,CARTAGO,PYMES,3,1,3,4,3,51502
SERVICIOS,2,950,CARTAGO,MEDIANA,3,1,54,78,4,472884
MANUFACTURA,5,757,SAN JOSE,PEQUEÑA,0,0,0,10,0,167466
BIENES RAICES,4,222,CARTAGO,MEDIANA,0,0,0,72,0,811521
AGRIGULTURA,3,278,PUNTARENAS,GRANDE,4,1,251,474,2,8033829
MANUFACTURA,5,414,PUNTARENAS,GRANDE,4,1,220,731,1,9202710
HOTELERIA,1,520,CARTAGO,GRANDE,1,1,994,630,4,16312764
COMERCIO,6,1241,ALAJUELA,PEQUEÑA,1,1,23,32,2,290538
HOTELERIA,1,1314,ALAJUELA,PEQUEÑA,0,0,0,33,0,298037
BIENES RAICES,4,162,CARTAGO,MEDIANA,0,0,0,92,0,1141160
BIENES RAICES,4,627,GUANACASTE,PYMES,4,1,2,9,2,12687
HOTELERIA,1,1279,CARTAGO,PEQUEÑA,4,1,21,26,3,365070
SERVICIOS,2,1,SAN JOSE,PYMES,0,0,0,8,0,78306
MANUFACTURA,5,137,SAN JOSE,MEDIANA,3,1,57,69,0,559498
MANUFACTURA,5,1426,ALAJUELA,PYMES,3,1,2,7,3,123937
SERVICIOS,2,967,ALAJUELA,MEDIANA,1,1,60,41,2,647927
MANUFACTURA,5,1155,GUANACASTE,GRANDE,0,0,0,131,0,16403583
SERVICIOS,2,996,SAN JOSE,GRANDE,0,0,0,760,0,2893386
AGRIGULTURA,3,521,LIMON,MEDIANA,4,1,71,61,0,943627
HOTELERIA,1,1178,GUANACASTE,PYMES,1,1,8,4,3,63898
COMERCIO,6,65,PUNTARENAS,PYMES,0,0,0,4,0,61380
SERVICIOS,2,283,HEREDIA,MEDIANA,0,0,0,64,0,851416
COMERCIO,6,1488,ALAJUELA,MEDIANA,2,1,77,72,0,809833
SERVICIOS,2,1352,ALAJUELA,PYMES,0,0,0,9,0,50964
MANUFACTURA,5,1245,GUANACASTE,PYMES,0,0,0,4,0,83017
COMERCIO,6,253,HEREDIA,PYMES,2,1,3,3,3,15289
SERVICIOS,2,716,ALAJUELA,PYMES,0,0,0,6,0,37325
COMERCIO,6,1459,HEREDIA,MEDIANA,4,1,85,46,3,967782
AGRIGULTURA,3,759,PUNTARENAS,PYMES,4,1,6,6,0,53867
HOTELERIA,1,318,SAN JOSE,PYMES,1,1,7,5,0,59315
SERVICIOS,2,1294,GUANACASTE,MEDIANA,0,0,0,95,0,752874
AGRIGULTURA,3,637,ALAJUELA,GRANDE,0,0,0,202,0,16507744
MANUFACTURA,5,258,PUNTARENAS,MEDIANA,0,0,0,76,0,644871
MANUFACTURA,5,1732,CARTAGO,PYMES,1,1,6,3,2,65367
BIENES RAICES,4,406,CARTAGO,MEDIANA,0,0,0,59,0,656543
AGRIGULTURA,3,873,CARTAGO,MEDIANA,4,1,55,83,3,652670
HOTELERIA,1,929,GUANACASTE,MEDIANA,4,1,37,53,4,696516
MANUFACTURA,5,994,PUNTARENAS,MEDIANA,2,1,44,83,3,1086897
AGRIGULTURA,3,350,LIMON,PEQUEÑA,0,0,0,28,0,302590
SERVICIOS,2,1559,PUNTARENAS,PEQUEÑA,0,0,0,24,0,168173
SERVICIOS,2,472,LIMON,PYMES,0,0,0,3,0,58292
AGRIGULTURA,3,1529,PUNTARENAS,PYMES,0,0,0,7,0,70964
HOTELERIA,1,714,ALAJUELA,GRANDE,4,1,153,895,0,3407002
COMERCIO,6,1548,CARTAGO,GRANDE,0,0,0,904,0,7130718
COMERCIO,6,816,LIMON,PYMES,0,0,0,7,0,99563
AGRIGULTURA,3,1231,PUNTARENAS,PYMES,0,0,0,4,0,115326
HOTELERIA,1,1066,LIMON,GRANDE,1,1,201,880,1,4286057
COMERCIO,6,129,ALAJUELA,PEQUEÑA,0,0,0,31,0,191047
COMERCIO,6,1693,GUANACASTE,PEQUEÑA,4,1,13,30,1,301684
AGRIGULTURA,3,1435,CARTAGO,MEDIANA,3,1,91,84,0,641462
AGRIGULTURA,3,944,HEREDIA,GRANDE,0,0,0,525,0,11734633
BIENES RAICES,4,794,LIMON,GRANDE,1,1,466,878,2,2307847
COMERCIO,6,681,LIMON,PEQUEÑA,0,0,0,13,0,120015
HOTELERIA,1,146,HEREDIA,PYMES,0,0,0,3,0,42150
MANUFACTURA,5,1284,SAN JOSE,PEQUEÑA,2,1,30,12,1,273850
HOTELERIA,1,680,PUNTARENAS,MEDIANA,0,0,0,79,0,566146
BIENES RAICES,4,1530,ALAJUELA,PEQUEÑA,4,1,23,32,4,112022
HOTELERIA,1,310,ALAJUELA,GRANDE,3,1,421,425,1,5481835
BIENES RAICES,4,1418,CARTAGO,GRANDE,1,1,350,276,3,8649666
MANUFACTURA,5,1668,SAN JOSE,PEQUEÑA,0,0,0,11,0,239886
COMERCIO,6,764,GUANACASTE,PEQUEÑA,3,1,35,27,2,330317
MANUFACTURA,5,409,LIMON,MEDIANA,3,1,72,78,0,987885
SERVICIOS,2,1307,PUNTARENAS,PYMES,1,1,8,9,2,118684
COMERCIO,6,550,ALAJUELA,GRANDE,0,0,0,540,0,16141544
SERVICIOS,2,763,PUNTARENAS,PEQUEÑA,0,0,0,31,0,171933
COMERCIO,6,372,SAN JOSE,PEQUEÑA,4,1,29,19,4,347259
AGRIGULTURA,3,1560,SAN JOSE,GRANDE,2,1,574,425,4,12977409
HOTELERIA,1,1094,PUNTARENAS,PYMES,3,1,2,9,0,18595
COMERCIO,6,413,ALAJUELA,PYMES,0,0,0,7,0,50023
BIENES RAICES,4,1193,HEREDIA,PEQUEÑA,4,1,22,15,3,339472
MANUFACTURA,5,298,SAN JOSE,GRANDE,0,0,0,744,0,7353644
SERVICIOS,2,1195,SAN JOSE,GRANDE,3,1,917,711,0,19359543
SERVICIOS,2,34,ALAJUELA,PEQUEÑA,2,1,34,20,1,244979
MANUFACTURA,5,101,ALAJUELA,PYMES,0,0,0,8,0,61501
HOTELERIA,1,1048,HEREDIA,MEDIANA,1,1,55,57,0,1155512
BIENES RAICES,4,966,ALAJUELA,PYMES,2,1,9,8,0,79306
HOTELERIA,1,1104,ALAJUELA,MEDIANA,0,0,0,90,0,604400
BIENES RAICES,4,224,LIMON,PEQUEÑA,2,1,10,28,1,300823
AGRIGULTURA,3,919,ALAJUELA,PEQUEÑA,0,0,0,22,0,389607
HOTELERIA,1,1617,PUNTARENAS,MEDIANA,0,0,0,60,0,1112929
SERVICIOS,2,1610,PUNTARENAS,MEDIANA,3,1,64,57,3,395645
AGRIGULTURA,3,636,LIMON,MEDIANA,1,1,60,100,4,648077
SERVICIOS,2,572,PUNTARENAS,PYMES,1,1,7,6,4,44130
AGRIGULTURA,3,433,GUANACASTE,GRANDE,2,1,446,462,4,5793277
COMERCIO,6,112,SAN JOSE,MEDIANA,4,1,95,80,1,375196
BIENES RAICES,4,1358,ALAJUELA,PYMES,0,0,0,4,0,118826
MANUFACTURA,5,1647,CARTAGO,GRANDE,2,1,183,900,0,1841219
BIENES RAICES,4,1466,PUNTARENAS,PEQUEÑA,3,1,31,29,4,206256
AGRIGULTURA,3,876,HEREDIA,PYMES,0,0,0,6,0,53058
COMERCIO,6,233,SAN JOSE,GRANDE,2,1,135,803,3,2697755
HOTELERIA,1,575,PUNTARENAS,PYMES,2,1,8,7,2,93296
HOTELERIA,1,374,HEREDIA,MEDIANA,3,1,78,98,1,1169106
BIENES RAICES,4,1040,HEREDIA,PYMES,0,0,0,3,0,45994
HOTELERIA,1,775,ALAJUELA,GRANDE,4,1,558,402,3,20331514
HOTELERIA,1,1129,LIMON,PYMES,0,0,0,8,0,31452
HOTELERIA,1,683,CARTAGO,MEDIANA,3,1,76,53,2,525061
HOTELERIA,1,1235,ALAJUELA,GRANDE,4,1,543,726,1,14190267
MANUFACTURA,5,1552,PUNTARENAS,PEQUEÑA,1,1,17,15,1,412126
HOTELERIA,1,122,HEREDIA,GRANDE,0,0,0,470,0,9573467
